"activity_name","destination_name","seo_title","content","description","presentation"
"Stand Up Paddle","Albufeira","Stand Up Paddle pour mon EVG à Albufeira","<ul><li>Un guide diplômé d'état<br></li><li>Une combinaison et des bottillons néoprène<br></li><li>Une planche de Stand Up Paddle par personne<br></li><li>Transfert A/R en minibus privatisé</li><li>2h d'activité<br></li><li>Disponible de 09h à 17h</li><li>L'activité se déroule à la plage Gale<br></li></ul>","<p>Vous avez rendez-vous sur la plage de Sao Rafael pour votre initiation au Stand Up Paddle.</p>","<p>Vous avez rendez-vous sur la plage de Sao Rafael pour votre initiation au Stand Up Paddle.<br>Vous y serez conduits par votre chauffeur, qui vous récupère devant votre hébergement.<br></p><p>Sur place, vous apprendrez la technique pour monter sur votre planche et pour acquérir de bons réflexes en termes de positionnement, d'équilibre, de propulsion et de conduite ! </p><p>Un sport incontournable du Portugal pour votre Enterrement de Vie de Garçon à Albufeira !</p>"
"Bar & Bottle","Albufeira","Bar & Bottle","<ul><li>Table pour le groupe</li><li>20€ de consommation par personne</li><li>Min 4 personnes</li><li>Le bar est sur la Strip de Albufeira</li></ul>","<p>Réservez une table pour votre groupe dans un bar situé sur la rue la plus animée d'Albufeira !</p>","<p>Réservez une table pour votre groupe dans un bar situé sur la rue la plus animée d'Albufeira !</p><p>20 € de consommation par personne inclus dans le prix : bière, shots, cocktails... prenez ce que vous voulez !</p>"
"Lesbo Show","Albufeira","Lesbo Show pour mon EVG à Albufeira!","<ul><li>Strip show lesbien de 2 filles sexy</li><li>Durée : environ 10 minutes</li><li>Le marié est invité à se joindre au show</li><li>5mn d'aftershow pour les photos avec les stripteaseuses</li></ul>","<p>Nos 2 sublimes danseuses assureront un show striptease assez HOT mais léger pour ne pas trop affoler le futur marié...</p>","<p>Le&nbsp;Lesbo Show, le show le plus spicy pour votre enterrement de vie de garçon à Albufeira!</p><p>Faire d’une pierre deux coups... ou plutôt, offrir deux superbes strip-teaseuses pour une seule activité !</p><p>Avec notre Lesbian Show, deux danseuses réaliseront un spectacle unique et inoubliable pour le futur marié.</p><p>Le show dure environ 10 minutes et peut se dérouler directement à votre hébergement (sauf en auberge).</p>"
"Transfert Aéroport","Albufeira","Transfert Aéroport pour mon EVG à Albufeira","<ul> 	<li> 		Accueil à l'aéroport avec un panneau au nom de l'organisateur</li> 	<li> 		Transfert aller/retour aéroport-hébergement dans un minibus privatisé.</li> </ul> ","<span style=""font-weight: normal;"">Un chauffeur vous accueille à l'aéroport avec un minibus et vous dépose à votre hébergement. Pas de soucis pour le retour non plus, le minibus viendra vous cherchez pour vous conduire à l'aéroport.</span>","<p> 	Un accueil personnalisé dès votre arrivée à l'aéroport: le chauffeur vous attendra avec un panneau sur lequel figurera le prénom ou surnom du marié! Aucune prise de tête à trouver assez de taxis pour tout le monde etc.. tout est géré pour vous jusqu'à que posiez vos valises à votre hébergement.&nbsp;</p> <p> 	Pour le retour, pas de problème non plus, oubliez la recherche de taxi avec la gueule de bois... le minibus viendra vous chercher à votre hébergement à l'heure qu'il faudra pour ne pas manquer le vol retour.</p> "
"Boat Party","Albufeira","Boat Party pour mon EVG à Albufeira","<p><br></p><ol><li data-list=""bullet""><span class=""ql-ui"" contenteditable=""false""></span>Boat Party</li><li data-list=""bullet""><span class=""ql-ui"" contenteditable=""false""></span>2 heures d'activité</li><li data-list=""bullet""><span class=""ql-ui"" contenteditable=""false""></span>2 heures de boissons à volonté (bière, vin, sangria et softs)</li><li data-list=""bullet""><span class=""ql-ui"" contenteditable=""false""></span>Transfert depuis Albufeira Strip</li><li data-list=""bullet""><span class=""ql-ui"" contenteditable=""false""></span>Pause baignade</li><li data-list=""bullet""><span class=""ql-ui"" contenteditable=""false""></span>Disponible  les samedis</li><li data-list=""bullet""><span class=""ql-ui"" contenteditable=""false""></span>Heure de départ: 16h30</li><li data-list=""bullet""><span class=""ql-ui"" contenteditable=""false""></span>Disponible d'avril à octobre</li><li data-list=""bullet""><span class=""ql-ui"" contenteditable=""false""></span>Min 4 personnes</li></ol><p><br></p>","<p></p><div>La boat party, ou comment commencer de la meilleure des manières votre samedi soir pendant votre EVG à Albufeira !<br></div><p></p>","<p>La boat party, ou comment commencer de la meilleure des manières votre samedi soir pendant votre EVG à Albufeira !</p><p>La boat party, c'est 2 heures de chillance et de fête sur l'océan en mode jet set. À bord, le DJ vous ambiancera, vous, vos amis et tous les autres groupes présents à bord le tout dans une ambiance festif!</p><p>Partagez ce moment de folie pour votre enterrement de vie de garçon à Albufeira.</p><p><b><br></b></p><p><u><b>BON À SAVOIR :</b></u></p><p>La boat party n'est disponible les vendredis et les samedis et le départ s'effectuent à&nbsp; 16h30.</p>"
"Kayak","Albufeira","Kayak pour mon EVG à Albufeira","<p></p><p></p><ul><li><p style=""display: inline !important;"">Tour en kayak</p></li><li>Départ: 10h</li><li>Durée: 2h30</li><li>Moniteur à votre disposition</li><li>Équipement complet fourni</li><li>Max 18 personnes</li><li>L'activité a lieu à Sao Rafael</li></ul><p></p><p></p>","<p></p><div>On vous propose une activité aquatique amusante et chill pour votre enterrement de vie de garçon à Albufeira.<br></div><p></p>","<p>On vous propose une activité aquatique amusante et chill pour votre enterrement de vie de garçon à Albufeira.<br></p><p>Une sortie en mer en kayak, c'est une activité idéale pour récupérer de sa soirée tout en faisant un peu de sport.&nbsp;C'est aussi l'occasion parfaite de découvrir la magnifique côte d'Algarve.</p><p><b><br></b></p><p>BON À SAVOIR :</p><p>Cette activité est disponible à partir d'avril jusqu'à octobre</p>"
"Nain menotté","Albufeira","Nain menotté pour mon EVG à Albufeira!","<ul><li>Le marié est attaché au nain pendant 2 heures</li><li>L'activité a lieu sur la Strip</li></ul>","<p>Vous voulez faire une bonne blague au marié ? Réservez l'activité ""Nain menotté"" pour votre EVG à Albufeira !</p>","<p>Vous voulez faire une bonne blague au marié ? Réservez l'activité ""Nain menotté"" pour votre EVG à Albufeira !</p><p>Le marié sera menotté à un nain pendant 2 heures, le tout dans une ambiance amusante et décalée. Vous pourrez en profiter pour visiter des bars et des strip-clubs sur la célèbre Strip. Un souvenir inoubliable garanti !</p>"
"Buggy","Albufeira","Buggy pour mon EVG à Albufeira","<p><ul><li><p style=""display: inline !important;"">1h30 de conduite de Buggy</p></li><li>Permis de conduire impératif</li><li>Découverte des paysages du Sud Portugais</li><li>1 Buggy pour 2</li><li>Disponible d'avril à octobre, de 10h à 15h</li></ul></p><ul> </ul> ","<div>C'est une véritable excursion hors des sentiers battus que nous vous proposons grâce à nos véhicules passe-partout. Voici l'activité idéale pour découvrir le côté sauvage du Sud du Portugal !</div>","<p>Que dites-vous d'une balade en buggy pour votre EVG à Albufeira ? C'est une véritable excursion hors des sentiers battus que nous vous proposons grâce à nos véhicules passe-partout. Voici l'activité idéale pour découvrir le côté sauvage du Sud du Portugal !</p><p>Vous serez accueillis par nos instructeurs locaux qui vous donneront les règles de conduite du buggy, et de sécurité.</p><p>Après quoi, vous pourrez vous engager sur le parcours sauvage durant 1h30 pour découvrir le côté sauvage de la côte Sud.</p><p><u>BON À SAVOIR :</u></p><p>Les conducteurs doivent présenter un permis de conduire pour pouvoir conduire un buggy.</p>"
"Cours de Surf","Albufeira","Cours de Surf pour mon EVG à Albufeira","<ul>	<li>Cours de surf sur les vagues de l'Atlantique</li>	<li>		Instructeur local</li>	<li>		Matériel complet</li><li>Assurance</li><li>L'activité a lieu à la plage Gale</li>	<li>Possibilité de rajouter un transfert A/R en minibus privatisé (supplément)</li> </ul> ","<div>Votre enterrement de vie de garçon à Albufeira, est l'occasion idéale pour vous d'apprendre à surfer.<br></div>","<p>Votre enterrement de vie de garçon à Albufeira, est l'occasion idéale pour vous d'apprendre à surfer. On vous propose une initiation au sport nautique le plus connu, c'est une véritable activité à sensations fortes.</p><p>Vous aurez deux cours de surf durant cette activité avant de vous exprimer librement avec les vagues.</p><p>Le minibus vous récupère et assure le transfert A/R vers la plage d'Albufeira pour le cours de surf.</p><p><br></p><p><u>BON À SAVOIR :</u></p><p>À noter que cette activité est souvent programmée le matin pour éviter les heures de forte affluence sur la plage, mais qu'il vous est possible de la réaliser l'après-midi également.</p><p></p> "
"Sunday Fiesta","Albufeira","Sunday Fiesta pour mon EVG à Albufeira!","<ul><li>Entrée au Sunday Fiesta</li><li>Tex Mex Buffet</li><li>Bière, sangria et tequila sunrise à volonté de 13h30 à 15h</li><li>Live DJs &amp; Saxaphonist</li><li>Durée: 3h30</li><li>Disponible de 13h30 à 17h</li><li>Disponible que le dimanche</li><li>L'activité a lieu dans un bar</li><li>Min 4 personnes</li></ul>","<p>Qui a dit que le dimanche est fait pour se reposer ? Faites la fête tous les jours pendant votre EVG à Albufeira avec le Sunday Fiesta !</p>","<p>Qui a dit que le dimanche est fait pour se reposer ? Faites la fête tous les jours pendant votre EVG à Albufeira avec le Sunday Fiesta !</p><p>L'activité inclut l'entrée dans un bar avec un buffet tex-mex, des boissons à volonté de 13h30 à 15h, et un DJ en direct. D'autres fêtards vous accompagneront tout au long de cette journée de fiesta !</p><p><br></p><p><u>BON À SAVOIR:</u></p><p>L'activité Sunday Fiesta est bien entendu disponible que le dimanche.</p>"
"Jet Boat","Albufeira","Jet Boat pour mon EVG à Albufeira","<p><ul><li><p style=""display: inline !important;"">30 min de Jet boat</p></li><li>Gilets de sauvetage</li><li>Un pilote professionnel pour conduire le bateau</li><li>12 personnes maximum par bateau</li><li>Disponible d'avril à octobre</li><li>Départ: Marina de Albufeira</li><li>Disponible de 10h à 18h</li></ul></p><ul> </ul> ","<p></p><div>Un Jet Boat, kezako ? Il s'agit d'un petit bateau dopé aux vitamines qui vous entraînera dans les figures les plus folles ! 360°, dérapage, zigzag... CRAMPONNEZ-VOUS !</div><p></p>","<p>Un Jet Boat, kezako ? Il s'agit d'un petit bateau dopé aux vitamines qui vous entraînera dans les figures les plus folles ! 360°, dérapage, zigzag... CRAMPONNEZ-VOUS !<br></p><p> 	Offrez-vous une activité à sensations fortes avec le jet boat pour votre EVG à Albufeira.</p> <p> 	L'embarcation dispose de 12 places, pour les groupes plus grands il faudra faire plusieurs rotations. Durant 30mn , le bateau vous entraînera dans des figures complètement folles... Accrochez-vous bien !<br> 	Une activité au top du top&nbsp;que vous ne serez pas prêts d'oublier</p><p><b><br></b></p> <p><u>BON À SAVOIR :</u></p><p> 	Activité disponible d'Avril à Octobre, de 10h à 18h.</p> "
"Appartement","Albufeira","Appartement pour mon EVG à Albufeira","<p></p><ul><li>Plusieurs appartements pour le groupe<br></li><li>Appartements pour 4-6 personnes</li><li>Dans le centre de Albufeira</li><li>Lits doubles et canapés-lits</li><li>Check in début d'après-midi</li><li>Check out fin matinée</li><li>Un dépôt de garantie peut être demandé au check in</li></ul><p></p>","<p></p><div>Pour votre Week-end d'EVG à Albufeira, nous vous proposons des hébergements en appartement.<br></div><p></p>","<p>Pour votre Week-end d'EVG à Albufeira, nous vous proposons des hébergements en appartement.<br></p><p>Les appartements peuvent accueillir jusqu'à 4-6 personnes.&nbsp;De plus, le placement idéal des appartements, permet de faire tous vos déplacements vers le centre-ville à pieds.</p>"
"Spa","Albufeira","Spa pour mon EVG à Albufeira","<ul> 	<li> 		Entrée dans un SPA</li> 	<li> 		Durée : 1h</li> 	<li> 		Centre de bien être</li> 	<li> 		Accès aux jacuzzi, sauna, piscine</li><li>Disponible de 10h à 15h</li><li>Max 10 personnes (si le groupe a plus de 10 personnes il sera divisé en 2)</li><li>Le port du bonnet de bain est obligatoire (vous pouvez en acheter au Spa)<br></li><li>Le spa est dans un hôtel à Santa Eulalia</li> </ul> ","<p></p><div>Voici le meilleur moyen de récupérer de votre soirée d'EVG à Albufeira.<br></div><p></p>","<p>Voici le meilleur moyen de récupérer de votre <a href=""https://www.crazy-evg.com/enterrement-de-vie-de-garcon-albufeira/tourn%C3%A9e-des-bars-&amp;-club-activites"" rel=""noopener noreferrer"" target=""_blank"">soirée</a> d'EVG à Albufeira.</p><p>Cette prestation comprend l'entrée dans le spa et l'accès à toutes les installations durant 60 minutes. Bref, vous avez tout pour vous reposer, vous détendre et de préparer au mieux votre deuxième soirée d'EVG à Albufeira.</p>"
"Jeep","Albufeira","Jeep pour mon EVG à Albufeira","<ul> 	<li>Excursion d'une journée en Jeep</li><li>Début de l'activité: 10:00</li> 	<li> 		Chauffeur et guide local</li> 	<li> 		Découverte de l'Algarve, des montagnes de Monchique etc...</li> 	<li>Transfert A/R en minibus privatisé pour votre groupe</li><li>Déjeuner inclus: poulet avec salade et/ou frites</li> </ul> ","<p></p><div>Rien de telle qu'une journée d'excursion pour découvrir les coins les plus sauvages de la côte Sud du Portugal, à bord de mythiques Jeeps décapotables.</div><p></p>","<p>Pour votre EVG à Albufeira, on vous propose une activité sportive et spectaculaire.</p><p> 	Rien de telle qu'une journée d'excursion pour découvrir les coins les plus sauvages de la côte Sud du Portugal, à bord de mythiques Jeeps décapotables.</p> <p> 	Un chauffeur vient vous récupérer à votre hébergement dans la matinée pour vous déposer au point de départ de votre excursion.</p> <p> 	Durant une journée, vous aurez l'occasion de découvrir les moindres recoins de la nature sauvage portugaise.&nbsp;Inclus dans le prix le déjeuner !</p> <p> 	Une fois l'excursion terminée, vous serez re déposés à votre hébergement ou sur le lieu de votre choix.</p> "
"Brunch","Albufeira","Brunch pour mon EVG à Albufeira!","<ol><li data-list=""bullet""><span class=""ql-ui"" contenteditable=""false""></span>Table pour le groupe</li><li data-list=""bullet""><span class=""ql-ui"" contenteditable=""false""></span>Brunch</li><li data-list=""bullet""><span class=""ql-ui"" contenteditable=""false""></span>Bière ou cava à volonté pendant 1h30</li><li data-list=""bullet""><span class=""ql-ui"" contenteditable=""false""></span>Durée: 2 heures</li><li data-list=""bullet""><span class=""ql-ui"" contenteditable=""false""></span>Disponible de 9h à 13h</li></ol><p><br></p>","<p>Réservez une table dédiée pour votre groupe et profitez d'un délicieux brunch à volonté !</p>","<p>Réservez une table dédiée pour votre groupe et profitez d'un délicieux brunch à volonté !</p><p> Pendant 2 heures, dégustez une variété de plats tout en savourant de la bière ou du cava.</p><p>Disponible de 9h à 13h, c’est l’occasion idéale de passer un moment convivial et gourmand dans une ambiance détendue. </p><p>Que ce soit pour célébrer une occasion spéciale ou simplement profiter d'une matinée entre amis, ce brunch saura combler toutes vos envies !</p>"
"Entrée en boîte","Albufeira","Entrée en boîte pour mon EVG à Albufeira","<ul> 	<li> 		Entrée en club pour tout le groupe</li><li>Le club est ouvert de 01h à 07h (horaire recommandé: 03h)</li> </ul> ","<p>Les sorties en club sont un passage obligatoire de tout enterrement de vie de garçon qui se respecte.&nbsp;<br></p>","<p>Les sorties en club sont un passage obligatoire de tout enterrement de vie de garçon qui se respecte.&nbsp;Votre EVG à Albufeira ne déroge pas à la règle, c'est pourquoi on vous fait une réservation dans le meilleur club de la ville.</p><p> 	Votre groupe est sur liste dans l'une des meilleures boîte de la ville, située en plein centre-ville. L'entrée est garantie, vous êtes libre de clubber toute la nuit!!</p> <p> 	<b><br><u>BON À SAVOIR:&nbsp;</u></b></p><p>En cas d'état d'ébriété trop avancée, de tenue vraiment inappropriée (torse nu, déguisement de bite ou de lapin, short-chaussettes-tongs...) nous ne pouvons pas garantir l'entrée.</p> "
"Dîner & Strip","Albufeira","Dîner & Strip pour mon EVG à Albufeira","<ul><li>Table réservée pour le groupe</li><li>Dîner 3 plats</li><li>1/2 bouteille de vin ou 1 bière toutes par personne</li><li>Striptease dans une salle privatisée</li><li>Durée: 3 heures</li><li>Disponible de 19h à 22h</li></ul>","<p>Voici un repas comme on les aime pendant un EVG à Albufeira !<br></p>","<p>Voici un repas comme on les aime pendant un EVG à Albufeira !</p><p>Cette activité se passe dans un des meilleurs restaurants d'Albufeira, vous y serez accueillis chaleureusement et y passerez un pur moment, c'est le moment de vous rincer l'œil et le gosier !</p><p>Le repas se compose de 3 plats, ainsi que de deux bières par personne, ou d'une bouteille pour deux personnes.</p><p>À la fin du repas, un striptease vient vous faire un show en guise de dessert.&nbsp;Après ça, vous serez au top pour le reste de la soirée.</p>"
